800067065;PROMOTORA MEDICA LAS AMERICAS S.A.;5001 - 050010212601
900242742;FABILU LTDA;76001 - 760010807701
830040256;HOSPITAL MILITAR CENTRAL;11001 - 110011693801
890324177;FUNDACION CLINICA VALLE DEL LILI;76001 - 760010287001
900470642;MEDICAL DUARTE ZF S.A.S.;54001 - 540010234901
805027743;DUMIAN MEDICAL S.A.S.;11001 - 110011612601|13001 - 1300102682
891200528;ESE HOSPITAL UNIVERSITARIO DEPARTAMENTAL DE NARINO;52001 - 520010110201
811016192;IPS DE SALUD UNIVERSIDAD DE ANTIOQUIA;5001 - 0500105909|8000 - 080000351601|8001 - 080010351601
800231235;EMPRESA SOCIAL ESTADO HOSPITAL UNIVERSITARIO SAN JORGE;66001 - 660010076201
819002176;COMPAÑÍA COLOMBIANA DE SALUD COLSALUD SA;47001 - 470010047601
